artist,album,catalogueNo,played,location,needNewCase,sleeveRating,sleeveNotes,mediaRating,mediaNotes,purchasedByMe,purchaseDate
.38 SPECIAL,SPECIAL FORCES,SP 4888,,shelf,,,,,,,
"5TH DIMENSION, THE",PORTRAIT,BELL 6045,TRUE,shelf,,,,,fairly scratched,,
"5TH DIMENSION, THE","LOVE'S LINES, ANGLES & RHYMES",BELL 6060,TRUE,shelf,,,,,,TRUE,
"5TH DIMENSION, THE",INDIVIDUALLY & COLLECTIVELY,BELL 6073,TRUE,shelf,,,,,,TRUE,
"5TH DIMENSION, THE",STONED SOUL PICNIC,SCS-92002,TRUE,shelf,,,,,,,
A-HA,HUNTING HIGH AND LOW,925 300-1,,shelf,,,,,,,
A-HA,HUNTING HIGH AND LOW,W125300,,shelf,,,,,,,
AC/DC,FOR THOSE ABOUT TO ROCK,SD 11111,,shelf,,,,,,,
AC/DC,BACK IN BLACK,SD 16018,,shelf,,,,,,,
AC/DC,DIRTY DEEDS DONE DIRT CHEAP,SD 16033,,shelf,,,,,WARPED,,
AC/DC,IF YOU WANT BLOOD,SD 19212,,shelf,,,,,,,
AC/DC,HIGHWAY TO HELL,SD 19244,,shelf,,,,,,,
AC/DC,LET THERE BE ROCK,SD 36-151,,shelf,,,,,,,
AEROSMITH,ROCKS,JC 34165,,shelf,,,,,,,
AEROSMITH,LIVE,PC2 35564,,shelf,,,,,,,
AL JARREAU,BREAKIN' AWAY,BSK 3576,,TUB,FALSE,MISSING INNER SLEEVE,,,,,
AL KOOPER,I STAND ALONE,CS 9718,,shelf,,,,,,,
AL KOOPER AND MIKE BLOOMFIELD,THE LIVE ADVENTURES OF,KGP 6,,shelf,,,,,,,
AL STEWART,TIME PASSAGES,AB 4190,TRUE,shelf,,,,,,TRUE,
AL STEWART,YEAR OF THE CAT,JXS-7022,,shelf,,,,,,,
ALABAMA,FEELS SO RIGHT,AHL 1-3930,,shelf,,,,,,,
"ALAN PARSONS PROJECT, THE",TALES OF MYSTERY AND IMAGINATION,T-539,,shelf,,,,,,,
ALFRED NEWMAN & KEN DARBY,PORTS OF PARADISE,STAO-1447,,shelf,,P,,,,,
ALICE COOPER,KILLER,BS 2567,,shelf,,,,,,,
ALIVE IN ALASKA,LOVE'S WAY,,,shelf,,VG+,Special writing to my dad on the back!,,,,
ALLAN SHERMAN,"MY SON, THE FOLK SINGER",WS 1475,,TUB,FALSE,"RING WEAR, MISSING INNER SLEEVE",,,,,
"ALLMAN BROTHERS BAND, THE",EAT A PEACH,2CP 0102,,shelf,,G,"Pretty dusty, worn out, spine not readably",,,,
AMERICA,HEARTS,BS 2852,,shelf,,,,,,,
AMERICA,HEARTS,BS 2852,,shelf,,,,,,,
AMERICA,HARBOR,BSK 3017,TRUE,shelf,,,,,,,
AMERICA,AMERICA'S GREATEST HITS,BSK 3110,,shelf,,,,,,,
ANDY GRIFFITH,JUST FOR THE LAUGHS,T 962,,shelf,,,,,,,
ARETHA FRANKLIN,THE BEST OF ARETHA FRANKLIN,81280-1-Y,,shelf,,,,,,,
"ASSOCIATION, THE",INSIGHT OUT,WS 1696,TRUE,shelf,,,,,,TRUE,
ATLANTA RHYTHM SECTION,QUINELLA,FC 37550,TRUE,shelf,,,,,,,
